Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
"August Zunno, Jr."	Captain	ELMONT FIRE DEPARTMENT	10/1/1949	15 Top
William R. Johnston	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
James Griffin	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	2/7/1923	  6 Top
Thomas J. Farino	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
Herman F. Rhodey	Firefighter	LOCKPORT FIRE DEPARTMENT	1/26/1903	  8 Top
Henry Wick	Firefighter	BUFFALO FIRE DEPARTMENT	12/19/1915	  3 Top
Edward Steinert	Firefighter	NORTH BELLMORE FIRE DEPARTMENT	12/2/1973	  7 Top
James H. Martin	Firefighter	CAZENOVIA FIRE DEPARTMENT	11/9/1901	  5 Top
Joseph Pallesco	Firefighter	SCHENECTADY FIRE DEPARTMENT	9/23/1970	  3 Bottom
Raymond F. Kihlmire	Firefighter	POUGHKEEPSIE FIRE DEPARTMENT	4/18/1971	  8 Bottom
Peter J. Gaffeney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/31/1904	  3 Bottom
Vincent A. Princiotta	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
James J. Ryan 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	12/25/2009	13 Bottom
Richard W. Holst    	Fire Police Captain    	HUNTINGTON MANOR FIRE DEPARTMENT      	9/9/2009	  1 Bottom
Joseph P. O’Toole 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	12/12/2016	16 Top
Harold J. Hoey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/13/1974	  8 Top
Alfred Gracey	Ladderman	ROCHESTER FIRE DEPARTMENT	6/18/1916	  3 Top
"George F. Farrell, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/13/1912	  4 Bottom
Timothy J. Lynch	Firefighter	MANLIUS FIRE DEPARTMENT	3/7/2002	  8 Bottom
George Wilkinson	Chief	THOMAS CORNERS FIRE DEPARTMENT	8/12/1955	  7 Bottom
James O’Brien	Firefighter	BUFFALO FIRE DEPARTMENT	9/18/1914	  4 Bottom
William F. Stanton	Engineer	NEW YORK CITY FIRE DEPARTMENT	10/23/1912	  4 Bottom
Carl E. Molinaro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Nicholas Taska	Firefighter	PAWLING FIRE DEPARTMENT	2/5/1969	  7 Top
Thomas P. Holohan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
George D. Raynor	Firefighter	WESTHAMPTON BEACH FIRE DEPARTMENT	4/9/1968	  9 Bottom
Charles S. Bouton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/2/1978	  9 Top
Edward J. Heaney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/22/1971	  7 Top
Frederick Soller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/25/1999	  5 Bottom
Thomas C. Brick	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/16/2003	  4 Top
James A. Walsh	Captain	NEW YORK CITY FIRE DEPARTMENT	2/15/1956	 9 Bottom
Tammy M. Hanno	Firefighter/EMT 	TURIN FIRE COMPANY	12/12/1995	  8 Bottom
Frank Callmeyer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/3/1920	  6 Top
John F. Dunne	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/6/1923	  6 Top
George Grant	Firefighter	POINT LOOKOUT-LIDO FIRE DEPARTMENT	3/1/1980	  9 Top
Joseph A. Fay	Captain	NEW YORK CITY FIRE DEPARTMENT	11/30/1967	  9 Bottom
Joseph M. Beetle	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	2/8/1976	  8 Top
Lawrence Filiatrault	Firefighter	FORT DRUM  FIRE DEPARTMENT	1/1/1979	  9 Top
Edward Pawlowski	Firefighter	THOMAS CORNERS FIRE DEPARTMENT	1/1/1978	  9 Top
Gary J. Gates 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	9/29/2015	19 Top
James W. Gerdes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/1/1904	  3 Bottom
George Gibson	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/22/1904	  3 Bottom
William F. Sellinger	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/18/1921	  6 Top
Stephen G. Gavin	Lieutenant	OWEGO FIRE DEPARTMENT	9/2/2003	  4 Bottom
Walter Farrell	Firefighter	BUFFALO FIRE DEPARTMENT	2/1/1922	  6 Top
Martin N. DeMeo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
James Coveney	Firefighter	LINDENHURST FIRE DEPARTMENT	1/1/1982	  8 Bottom
LaFord H. Stanley	Firefighter	CAMPVILLE FIRE DEPARTMENT	1/1/1973	  7 Top
Matthew D. Garvey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
Rozel T. Rice	Firefighter	DAYTON FIRE DEPARTMENT	1/1/1976	  8 Top
Adolph A. D’ Ambrosio	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/4/1975	  8 Top
John D. Cunningham	Firefighter	PAWLING FIRE DEPARTMENT	12/6/1966	  7 Top
Rudolph F. Kaminsky	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	  2 Bottom
Donald P. Aversa	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/17/1977	  9 Top
Glenn E. Wilkinson	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Bottom
Richard B. Marsh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/3/1976	  8 Top
John J. Florio	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
Frank Friederlein	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/31/1945	  4 Bottom
Lloyd Flavin	Firefighter	COHOES FIRE DEPARTMENT	6/14/1976	  8 Top
Steven B. Reisman 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	6/1/2014	18 Bottom
Glenn C. Perry	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
Berthold H. Lorenz	Firefighter	VALHALLA FIRE DEPARTMENT	3/25/1952	  7 Bottom
Dominick J. Rosato	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/21/1969	  9 Bottom
Steven J. Bates	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
Richard A. Spina	Firefighter	SYRACUSE FIRE DEPARTMENT	3/11/1972	  7 Top
Robert W. Alexander 	Marine Engineer 	NEW YORK CITY FIRE DEPARTMENT 	8/14/2017	16 Top
Eugene Bowers	Battalion Chief	BUFFALO FIRE DEPARTMENT	9/12/1967	  9 Bottom
Henry J. Hoehn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/27/1930	  4 Top
Terrell A. Reeve	Firefighter	EAST MORICHES FIRE DEPARTMENT	1/1/1972	  7 Top
Frederick Carpenter	Assistant Chief	NEWBURGH FIRE DEPARTMENT	5/2/1968	  9 Bottom
Mark A. Kelly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/26/1904	  3 Bottom
John T. Foran	Firefighter	NANUET FIRE DEPARTMENT	9/9/1975	  8 Top
Philip S. Petti	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Top
Paul Siegert	Firefighter	BUFFALO FIRE DEPARTMENT	7/6/1912	  4 Bottom
Keith E. Atlas 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	4/4/2014	18 Top
Peter A. Bielfeld	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
Francis J. Martin	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/9/1972	  7 Top
Michael Smith	Firefighter	WEST SENECA FIRE DEPARTMENT	9/4/1977	  8 Top
George Boyce	Firefighter	BELLPORT FIRE DEPARTMENT	1/1/1973	  7 Top
Lawrence Perchuck	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/27/1967	  9 Bottom
Gerard J. Duffy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Bottom
John J. Henderson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/8/1929	  4 Top
Carl H. Lucas	Captain	WATERTOWN FIRE DEPARTMENT	7/7/1955	  7 Bottom
Ronald F. Warren	Firefighter	GENEVA FIRE DEPARTMENT	5/16/1980	  9 Top
Edward Thompson	Firefighter	BUFFALO FIRE DEPARTMENT	11/7/1928	  5 Top
Nathan Riley	Firefighter	BUFFALO FIRE DEPARTMENT	8/12/1909	  5 Bottom
Percy Smith	Firefighter	JONESVILLE FIRE DEPARTMENT	6/12/1946	  4 Bottom
Lorenzo Warlick	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/5/1967	  9 Bottom
George N. Peartree	Hoseman	ROCHESTER FIRE DEPARTMENT	11/11/1907	  6 Bottom
Edward V. Tietjen 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	11/25/2003	21 Bottom
Raymond Mursch	Firefighter	WHITESBORO FIRE DEPARTMENT	1/6/1957	  7 Bottom
Patrick J. Brown	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Bottom
Thomas J. Thompson 	Captain 	NEW YORK CITY FIRE DEPARTMENT 	8/17/2015	19 Top
William C. Seelig	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/7/1972	  7 Top
George E. Klopfer	Assistant Chief	VOORHEESVILLE FIRE DEPARTMENT	7/6/1959	  7 Bottom
Donald E. McFee	Assistant Chief	MEXICO FIRE DEPARTMENT	8/31/1969	  9 Bottom
Frank T. Tuttlemondo	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	8/13/1980	  9 Top
Eugene Dean	Firefighter	MOUNT VERNON FIRE DEPARTMENT	1/1/1980	  9 Top
Howard A. Dailey	Captain	AMITYVILLE FIRE DEPARTMENT	6/20/1971	  7 Top
Brian J. Masterson 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	1/22/2017	  7 Bottom
Jonathan S. Croom	Firefighter	BUFFALO FIRE DEPARTMENT	8/24/2009	  1 Top
Steve J. Mercado	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
Frederick Masserli	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/2/1907	  6 Bottom
Donald J. Urbano 	Lieutenant 	ALBANY FIRE DEPARTMENT	11/18/2016	21 Top
Harold F. Hastings	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/2/1978	  9 Top
John E. Mahon	Hoseman	ROCHESTER FIRE DEPARTMENT	8/9/1930	  4 Top
Leo P. Lydon	Ex-Captain	SUFFERN FIRE DEPARTMENT	9/16/1969	  9 Bottom
J. Chester Cromwell	Firefighter	WHITE PLAINS FIRE DEPARTMENT	2/3/1907	  6 Bottom
William E. Moreau 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	3/12/2008	  2 Top
James P. Lavin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/14/1971	  7 Top
Michael R. O’Hanlon 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/28/2017	15 Bottom
Roy W. Chelsen 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	1/9/2011	21 Bottom
Edward Guarino	Firefighter	EGGERTSVILLE HOSE FIRE DEPARTMENT	6/17/1970	  6 Bottom
Michael J. Dickinson	Firefighter	SOUTH GLENS FALLS FIRE DEPARTMENT	4/17/1970	  6 Top
Steven C. Mosiello 	Fire Marshal 	NEW YORK CITY FIRE DEPARTMENT 	7/15/2011	  4 Bottom
Brereton E. Johnson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/13/1913	  4 Bottom
Kenneth Dack	Firefighter	SOLVAY FIRE DEPARTMENT	9/3/1973	  7 Top
Mary Skidmore	President	SELDEN FIRE DEPARTMENT	11/24/1976	  2 Top
Robert E. Leaver 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	9/22/2014	  1 Bottom
Frank Seeback	Captain	WANTAGH FIRE DEPARTMENT	11/18/1973	  7 Top
Raymond E. Murphy	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
Richard E. McGuire 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	12/9/2012	  2 Top
Joseph C. Clark	Firefighter	SARATOGA SPRINGS FIRE DEPARTMENT	12/14/1974	  8 Top
James H. Landrigan	Ex-Captain	EAST MEADOW FIRE DEPARTMENT	9/29/1977	  9 Top
Charles R. Nagle	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/11/1926	  5 Top
Carmelo J. Puccia	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/6/1970	  8 Bottom
Kevin J. Cassidy 	Captain 	NEW YORK CITY FIRE DEPARTMENT 	8/30/2009	  1 Bottom
Raymond Koehler	Captain	NEW YORK CITY FIRE DEPARTMENT	11/19/1975	  8 Top
George M. Bayard	Firefighter	CORNWALL FIRE DEPARTMENT	8/23/1923	  4 Top
Daniel O’Connor	Firefighter	BUFFALO FIRE DEPARTMENT	1/19/1908	  6 Bottom
John Smith	Firefighter	BUFFALO FIRE DEPARTMENT	07/02/1858	  1 Top
Homer G. Mead	Firefighter	JOHNSON CITY FIRE DEPARTMENT	1/8/1974	  8 Top
Steven Sorger	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	3/11/2017	  4 Top
Thomas F. Lennon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/6/1907	  6 Bottom
Keith Purcell	Firefighter	SOUTHOLD FIRE DEPARTMENT	12/17/2000	  7 Bottom
John Carbush	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/9/1905	  2 Bottom
Michael J. Cawley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Elmer Lissow	Firefighter	HILTON FIRE DEPARTMENT	3/7/1972	  7 Top
Joseph Nirschel	Battalion Chief	BUFFALO FIRE DEPARTMENT	5/9/1923	  6 Top
James R. Starkey	Captain	NEW YORK CITY FIRE DEPARTMENT	7/16/1924	  6 Top
Stephen J. Finn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/17/1920	  6 Top
Jospeh D. Farrelly	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
Henry V. Delaney	Firefighter	BALLSTON SPA FIRE DEPARTMENT	3/13/1974	  8 Top
Howard J. Bischoff 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	9/22/2014	  2 Bottom
Lawrence Franklin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/19/1969	  9 Bottom
Jacques W. Paultre 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	6/24/2008	20 Bottom
William Hoff	Firefighter	WILLISTON PARK FIRE DEPARTMENT	1/1/1971	  7 Top
William Roland	Driver	BUFFALO FIRE DEPARTMENT	6/1/1918	  3 Top
Walter Cole	Firefighter	PEEKSKILL FIRE DEPARTMENT	8/1/1918	  2 Top
Martin R. Celic	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/10/1977	  8 Top
Walter H. Huhne	Firefighter	PORT CHESTER FIRE DEPARTMENT	4/3/1963	  7 Top
Paul Alle	Chief	ASHLAND FIRE DEPARTMENT	9/12/1960	  7 Bottom
Leon J. Hammond	Firefighter	FULTON FIRE DEPARTMENT	11/30/1915	  5 Bottom
Brian E. Sweeney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Matthew S. Rogan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Top
"Robert J. Schnibbe, Jr."	Battalion Chief	WESTCHESTER BATTALION 14	3/3/2006	  2 Bottom
James C. Kearney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/28/1967	  9 Bottom
"William F. Burke, Jr."	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
John Henky	Firefighter	BUFFALO FIRE DEPARTMENT	1/28/1907	  6 Bottom
Edward White	Captain	BUFFALO FIRE DEPARTMENT	11/13/1917	  3 Top
Jerry Cotignola	Firefighter	FREEPORT FIRE DEPARTMENT	1/1/1978	  9 Top
John R. Eastburn	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	2/10/1970	  8 Bottom
Michael Petragnani	Firefighter	SYRACUSE FIRE DEPARTMENT	4/9/1978	  9 Top
Burton Winspear	Firefighter	BUFFALO FIRE DEPARTMENT	1/7/1975	  8 Top
John J. Burke	Firefighter	YONKERS FIRE DEPARTMENT	7/1/1913	  4 Bottom
Michael R. Warchola	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Bottom
Frank Wilkinson	Firefighter	HUTCHINSON HOSE FIRE DEPARTMENT	11/23/1970	  8 Bottom
John C. Rumsey	Firefighter	ITHACA FIRE DEPARTMENT	12/7/1906	  3 Top
Herbert F. Clark	Firefighter	CATSKILL FIRE DEPARTMENT	7/31/1960	  7 Bottom
Anthony Schepis	Firefighter	AVERILL PARK-SANDLAKE FIRE DEPARTMENT	4/13/1960	  7 Bottom
Harold B. Sayers	Ladderman	ALBANY FIRE DEPARTMENT	6/4/1922	  6 Top
Thomas Ringlehan	Firefighter	CORNWALL-ON-HUDSON FIRE DEPARTMENT	6/12/1973	  7 Top
Francis Masterson	Lieutenant	BUFFALO FIRE DEPARTMENT	2/9/1931	  4 Top
Mark W. McKay 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	4/4/2012	  2 Bottom
James J. Maine	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/10/1969	  9 Bottom
Michael J. Greene	"Firefighter, Ex-Captain"	WEST BABYLON FIRE DEPARTMENT	6/16/2006	  2 Top
John P. Murray 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	4/30/2008	  3 Top
Reinaldo Natal 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	2/5/2006	  2 Top
George D. Eysser 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT	6/13/2015	  3 Top
James J. Marshall 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	11/30/2014	  1 Top
Frank J. Caravella	Firefighter	DEER PARK FIRE DEPARTMENT	1/1/1978	  9 Top
Jeffrey W. Howell	Firefighter	SHARON SPRINGS FIRE DEPARTMENT	5/13/2004	  4 Bottom
Charles J. Murphy	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/9/1918	  2 Top
Dana Standish	Firefighter	NAPLES FIRE DEPARTMENT	7/26/1966	  9 Bottom
Patrick J. Sullivan 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	6/16/2012	  1 Bottom
Denis Donovan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/17/1920	  6 Top
William J. Aeillo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/30/1923	  6 Top
William J. Dayton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/13/1905	  3 Bottom
"John J. Harvey, I"	Pilot	NEW YORK CITY FIRE DEPARTMENT	2/11/1930	  4 Top
Lewis Pfeil	Chief	GUILFORD FIRE DEPARTMENT	6/23/1961	  7 Bottom
Paul F. Santoro 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	10/15/2016	18 Top
Peter Simpson	Firefighter	NANUET FIRE ENGINE COMPANY	6/22/1957	  7 Bottom
Terrence P. Farrell	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Bottom
Carlton A. Bouck	Firefighter	BRIDGEWATER FIRE DEPARTMENT	11/5/1966	  3 Top
George McDermott	Firefighter	SYRACUSE FIRE DEPARTMENT	3/12/1905	  2 Bottom
Max Schmidt	Firefighter	LEEDS FIRE DEPARTMENT	11/1/1935	  9 Bottom
Lawrence Fitzpatrick	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/27/1980	  9 Top
"Frank Porpiglio, Jr."	Firefighter	SYRACUSE FIRE DEPARTMENT	4/9/1978	  9 Top
Michael J. Clarke	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Gordon M. Ambelas 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	7/5/2014	  4 Top
Robert F. Coates	Firefighter	CRYSTAL BEACH FIRE DEPARTMENT	1/1/1981	  9 Top
Edward F. Nealis	Captain	NEW YORK CITY FIRE DEPARTMENT	5/17/1919	  1 Top
Cruz Antonio Fernandez 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT	7/14/2006	19 Bottom
Anthony DeFalco	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/9/1974	  8 Top
Clyde E. Johns	Lieutenant	BINGHAMTON FIRE DEPARTMENT	10/24/1970	  7 Top
Edward J. Coiley	Chief	MORAVIA FIRE DEPARTMENT	4/5/1936	  3 Top
Thomas R. Van Doran 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	11/13/2012	  3 Top
Mathew J. Ward	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/26/1915	  3 Top
John H. Massey	Firefighter	UNADILLA FORKS	10/10/1977	  9 Top
Richard Hellberg	Firefighter	MILLER PLACE FIRE DEPARTMENT	1/1/1978	  9 Top
John F. Timmons	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/23/1911	  5 Bottom
Thomas F. Munroe	Captain	NEW YORK CITY FIRE DEPARTMENT	2/26/1968	  9 Bottom
"William Wilson, Jr. "	Fire Marshal 	NEW YORK CITY FIRE DEPARTMENT 	7/15/2006	21 Bottom
Carl J. Bedigian	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
"Edward Rykowski, Jr."	Firefighter	ROSLYN-HIGHLAND FIRE DEPARTMENT	9/3/1979	  9 Top
Robert W. Johnson 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	4/10/2016	19 Bottom
Gerard T. Ganley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/13/1978	  9 Top
James P. McGahan	Lieutenant	ALBANY FIRE DEPARTMENT	6/4/1922	  6 Top
Nicholas J. DeMasi 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	10/21/2015	20 Top
James M. Meyers	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	11/15/1979	  8 Bottom
Martin C. Simmons 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	7/21/2008	21 Bottom
James W. Robertson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/8/1975	  8 Top
John Venner	Firefighter	SYRACUSE FIRE DEPARTMENT	3/15/1926	  5 Top
John E. Miller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/24/1925	  5 Top
Patrick J. O’Keefe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Bottom
Michael F. Harley	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/29/1925	  5 Top
Joseph Rittling	Firefighter	BUFFALO FIRE DEPARTMENT	04/25/1894	14 Bottom
John F. Ginley	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Bottom
William Richardson	Pilot	BUFFALO FIRE DEPARTMENT	2/28/1931	  4 Top
James E. Cutillo	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/2/1978	  9 Top
Nathan C. Howell	Firefighter	SOUTHAMPTON FIRE DEPARTMENT	1/1/1918	  2 Top
Vanclive A. Johnson 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/22/2003	  1 Top
Stephen J. Glynn	Hoseman	ALBANY FIRE DEPARTMENT	7/22/1904	  3 Bottom
Edward A. Dougherty	Captain	NEW YORK CITY FIRE DEPARTMENT	10/4/1930	  4 Top
Eugene M. Whelan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Daniel T. Suhr	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Bottom
Richard Bean	Firefighter	LONG LAKE FIRE DEPARTMENT	2/7/1974	  8 Top
Vincent S. Morello	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
"Charles R. Sanchez, I"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/7/1976	  8 Top
"John J. Berardi, Jr."	Firefighter	KINGSTON FIRE DEPARTMENT	7/7/2003	  3 Bottom
Floyd L. Adel	Firefighter	FULTON FIRE DEPARTMENT	12/4/1914	  4 Top
William Vogel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/27/1929	  4 Top
Paul D. Wilson	Firefighter	EVANS MILLS FIRE DEPARTMENT	7/7/1940	  8 Bottom
William T. Keene	Firefighter	BUFFALO FIRE DEPARTMENT	4/5/1978	  9 Top
Eugene R. Miller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/24/1968	  9 Bottom
William Jones	Engineer	BUFFALO FIRE DEPARTMENT	5/6/1922	  6 Top
Frank Murphy	Firefighter	AUBURN FIRE DEPARTMENT	2/1/1927	  5 Top
Lester A. Roselle	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/1/1977	  8 Top
Robert Brunner	Firefighter	BUFFALO FIRE DEPARTMENT	1/3/1968	  9 Bottom
Michael R. Davidson 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	3/23/2018	  1 Bottom
William C. Gorry	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/10/1960	  7 Bottom
Alton L. Lewis	Assistant Chief	MONTOUR FALLS FIRE DEPARTMENT	11/29/1999	  1 Top
Joseph P. Costello 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	1/3/2006	  2 Top
Raymond L. Murray 	Forest Ranger 	NYS DEPARTMENT OF CONSERVATION 	10/9/1970	21 Top
Thomas Simpson	Firefighter	NANUET FIRE ENGINE COMPANY	6/22/1957	  7 Bottom
Brian D. Fahey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/17/2001	  4 Top
Melvin W. Martin	Firefighter	BANGOR FIRE DEPARTMENT	9/8/1958	  7 Bottom
Michael G. Behette 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	9/17/2012	  3 Top
Joseph A. Flannigan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/31/1921	  6 Top
Francis M. Donelon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/10/1930	  4 Top
Charles J. Johnson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/14/1918	  3 Top
James N. Costello 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	11/25/2015	  3 Bottom
"David P. Meron, Sr."	Firefighter	HOOSICK FALLS FIRE DEPARTMENT	7/21/2008	   6 Bottom
Fritz Wanerka	Firefighter	ANTWERP FIRE DEPARTMENT	1/1/1979	  9 Top
Adam Damm	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/27/1907	  6 Bottom
Gregorio Morales 	Fire Marshal 	NEW YORK CITY FIRE DEPARTMENT 	7/30/2016	19 Bottom
George L. Collins	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/15/1968	  9 Bottom
John F. Fecher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/23/1910	  5 Bottom
Dennis M. Mulligan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
James Brennan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/28/1920	  6 Top
William Muldoon	Firefighter	SOLVAY FIRE DEPARTMENT	11/20/1969	  7 Top
"David Hadley, Sr."	Firefighter	BOSTON FIRE DEPARTMENT	7/15/1978	  9 Top
James F. Flood	Lieutenant	ALBANY FIRE DEPARTMENT	1/1/1929	  4 Top
