Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Timothy M. Stackpole	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
Timothy M. Welty	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Timothy P. McSweeney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Timothy S. Haskell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
Tobias Miller    	Firefighter    	POUGHKEEPSIE FIRE DEPARTMENT     	11/14/1950	20 Top
Tomasz M. Kaczowka	Firefighter	WEST WEBSTER FIRE DEPARTMENT	12/24/2012	12 Bottom
Vernon A. Richard	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
Vernon F. Edwards	Firefighter	CORAM FIRE DEPARTMENT	5/1/1930	12 Bottom
Vernon P. Cherry	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
Victor Prokop	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/17/1962	12 Bottom
Vincent A. Schmitt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/6/1945	15 Top
Vincent Brier	Firefighter	DEER PARK FIRE DEPARTMENT	1/1/1961	12 Bottom
Vincent D. Kane	Fire Marshal	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
"Vincent D. Meegan, Jr."	Firefighter	BUFFALO FIRE DEPARTMENT	12/24/1993	10 Top
Vincent E. Brunton	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Vincent F. Giammona	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Bottom
Vincent Fowler	Captain	NEW YORK CITY FIRE DEPARTMENT	6/4/1999	11 Top
Vincent Herbert	Ex-Chief	OCEANSIDE FIRE DEPARTMENT	4/29/1962	12 Bottom
Vincent I. Dineen	1st Assistant Chief	ISLIP FIRE DEPARTMENT	12/4/1982	20 Top
Vincent J. McGill	Captain	NEW YORK CITY FIRE DEPARTMENT	12/25/1955	14 Top
Vincent Janczewski	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/12/1958	13 Top
Vincent Laurence	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/20/1955	14 Top
Vincent Morana	Firefighter	BUFFALO FIRE DEPARTMENT	1/1/1961	12 Bottom
W. John Eckerson	Firefighter	BEUKENDAAL VOLUNTEER FIRE DEPARTMENT	8/19/1956	20 Bottom
Walter A. Ernst	Firefighter	EAST MEADOW FIRE DEPARTMENT	5/30/1998	10 Top
Walter A. Jensen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/5/1946	15 Top
Walter Augustin	Firefighter	CONGERS FIRE DEPARTMENT	11/7/1995	10 Top
Walter C. Bersig	Captain	NEW YORK CITY FIRE DEPARTMENT	6/27/1961	12 Bottom
Walter F. Bell	Firefighter	CANTON FIRE DEPARTMENT	7/3/1955	20 Top
Walter F. Howell	Captain	BINGHAMTON FIRE DEPARTMENT	3/3/1914	10 Bottom
Walter H. Kastenhuber	Firefighter	JAMESTOWN FIRE DEPARTMENT	6/13/1934	10 Bottom
